identifier,unicode,ascii alt,ascii fallback,udlr,description
HORIZONTAL,2500,71,-,lr,"BOX DRAWINGS LIGHT HORIZONTAL"
VERTICAL,2502,78,|,ud,"BOX DRAWINGS LIGHT VERTICAL"
TOP_LEFT,250c,6c,+,dr,"BOX DRAWINGS LIGHT DOWN AND RIGHT"
TOP_RIGHT,2510,6b,+,dl,"BOX DRAWINGS LIGHT DOWN AND LEFT"
BOTTOM_LEFT,2514,6d,+,ur,"BOX DRAWINGS LIGHT UP AND RIGHT"
BOTTOM_RIGHT,2518,6a,+,ul,"BOX DRAWINGS LIGHT UP AND LEFT"
T_UP,2534,76,+,ulr,"BOX DRAWINGS LIGHT UP AND HORIZONTAL"
T_DOWN,252c,77,+,dlr,"BOX DRAWINGS LIGHT DOWN AND HORIZONTAL"
T_LEFT,2524,75,+,udl,"BOX DRAWINGS LIGHT LEFT AND VERTICAL"
T_RIGHT,251c,74,+,udr,"BOX DRAWINGS LIGHT RIGHT AND VERTICAL"
CROSS,253c,6e,+,udlr,"BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL"
